Family,Genus ,Species,habitats<500m,Sub-Origin,Taxon_Status,#Islands,Espanola,Fernandina,Floreana,Genovesa,Isabela,Marchena,Pinta,Pinzon,San_Cristobal,Santa_Cruz,Santa_Fe,Santiago,#Introductions,Fruit_type,UNS,END,EPI,THA,ANE,Used_for_the_AoB_paper,littoral
Passifloraceae,Passiflora,colinvauxii,,En,1,1,,,,,,,,,,1,,,3,Berry,0,1,0,0,0,,
Passifloraceae,Passiflora,suberosa,1,Id,1,8,1,1,1,,1,,1,,1,1,,1,3,Berry,0,1,0,0,0,,
Asteraceae,Pectis,subsquarrosa,1,En,1,10,1,1,1,,1,,1,1,1,1,1,1,2,Achene,0,0,0,0,1,,
Asteraceae,Pectis,tenuifolia,1,En,1,10,1,1,1,1,1,,1,,1,1,1,1,2,Achene,0,0,0,0,1,,
Poaceae,Pennisetum,pauperum,1,En,1,3,,1,,,1,,,,,,,1,1,Caryopside,0.5,0,0.5,0,0,,
Piperaceae,Peperomia,rotundata,1,Id,1,3,,,,,1,,,,,1,,1,3,Drupe-like,0,0,1,0,0,,
Piperaceae,Peperomia,petiolata,1,En,1,8,,1,1,,1,,1,1,1,1,,1,3,Drupe-like,0,0,1,0,0,,
Piperaceae,Peperomia,galioides,1,Id,1,8,,1,1,,1,,1,1,1,1,,1,3,Drupe-like,0,0,1,0,0,,
Piperaceae,Peperomia,inaequalifolia,1,Id,1,8,,1,1,,1,,1,1,1,1,,1,3,Drupe-like,0,0,1,0,0,,
Ericaceae,Pernettya,howellii,,En,1,2,,,,,1,,,,,1,,,1,Berry,0,1,0,0,0,,
Polygonaceae,Persicaria,hydropiperoides,1,Id,1,5,,,1,,1,,,,1,1,,1,,,1,0,0,0,0,,
Polygonaceae,Persicaria,acuminata,,Id,1,1,,,,,,,,,,1,,,,,1,0,0,0,0,,
Fabaceae,Phaseolus,mollis,1,En,1,6,,1,,,1,,1,,1,1,,1,3,Pod,1,0,0,0,0,,
Fabaceae,Phaseolus,cytisoides,,NoData,8,1,,,,,,,,,,1,,,3,Pod,1,0,0,0,0,,
Amaranthaceae,Philoxerus,,,,,,,,,,,,,,,,,,,,0.5,,,0.5,,,
Viscaceae,Phoradendron,berteroanum,1,NoData,1,8,,1,1,,1,,1,1,1,1,,1,1,Drupe,0,0.5,0.5,0,0,Two syndromes,
Verbenaceae,Phyla,strigulosa,1,Id,1,6,1,,1,,1,,,1,1,1,,,1,Dry,1,0,0,0,0,,
Euphorbiaceae,Phyllanthus,caroliniensis,1,Id,1,7,,1,1,,1,,1,,1,1,,1,1,Capsule,1,0,0,0,0,,
Solanaceae,Physalis,galapagoensis,1,En,1,7,1,1,1,,1,,,,1,1,,1,3,Berry,0,0.5,0,0.5,0,Two syndromes,
Solanaceae,Physalis,angulata,1,Id,1,10,1,1,1,,1,1,1,,1,1,1,1,3,Berry,0,0.5,0,0.5,0,Two syndromes,
Solanaceae,Physalis,pubescens,1,Id,1,10,1,1,1,1,1,,1,1,,1,1,1,3,Berry,0,0.5,0,0.5,0,Two syndromes,
Phytolaccaceae,Phytolacca,octandra,1,Id,1,3,,,,,1,,,,,1,,1,1,Berry-like,0,1,0,0,0,,
Urticaceae,Pilea,peploides,1,Id,1,3,,1,1,,1,,,,,,,,2,Achene,1,0,0,0,0,,
Urticaceae,Pilea,baurii,1,En,1,9,1,1,1,,1,,1,1,1,1,,1,2,Achene,1,0,0,0,0,,
Fabaceae,Piscidia,carthagenensis,1,Id,1,2,,,,,,,,,1,1,,,1,Pod,1,0,0,0,0,,
Nyctaginaceae,Pisonia,floribunda,1,En,1,8,,1,1,,1,,1,1,1,1,,1,1,Achene,0,0,1,0,0,,
Plantaginaceae,Plantago,galapagensis,1,En,1,5,,,1,,1,,,,1,1,,1,1,Capsule,1,0,0,0,0,,
Amaranthaceae,Pleuropetalum,darwinii,1,En,1,3,,,,,1,,,,,1,,1,1,Capsule,0,1,0,0,0,,
Plumbaginaceae,Plumbago,coerulea,1,Id,1,1,,,,,1,,,,,,,,2,Capsule,0,0,1,0,0,,
Plumbaginaceae,Plumbago,zeylanica,1,Id,1,11,1,1,1,,1,1,1,1,1,1,1,1,2,Capsule,0,0,1,0,0,,
Polygalaceae,Polygala,anderssonii,1,En,1,3,,,,,1,,,,,1,,1,1,Capsule,1,0,0,0,0,,
Polygalaceae,Polygala,sancti-georgii,1,En,1,4,,,1,,,,1,,,1,,1,1,Capsule,1,0,0,0,0,,
Polygalaceae,Polygala,galapageia,1,En,1,7,,1,1,,1,1,,,1,1,,1,1,Capsule,1,0,0,0,0,,
Polygonaceae,Polygonum,punctatum,1,Id,1,4,,,1,,,,,,1,1,,1,4,Achene,1,0,0,0,0,,
Polygonaceae,Polygonum,galapagense,,En,1,3,,,,,1,,,,1,1,,,4,Achene,1,0,0,0,0,,
Orchidaceae,Ponthieva,maculata,,Id,1,4,,,,,1,,1,,,1,,1,1,Capsule,0,0,0,0,1,,
,Portulaca,olearace,,,,,,,,,,,,,,,,,,,,,,,,,
Portulacaceae,Portulaca,howellii,1,En,1,12,1,1,1,1,1,1,1,1,1,1,1,1,3,Capsule,0.5,0,0,0.5,0,,
Potamogetonaceae,Potamogeton,pectinatus,,Id,1,2,,,,,1,,,,,1,,,1,Drupe-like,0,1,0,0,0,,
Orchidaceae,Prescottia,oligantha,,Id,1,5,,,,,1,,1,,1,1,,1,1,Capsule,0,0,0,0,1,,
Mimosaceae,Prosopis,juliflora,1,Id,1,9,1,,1,,1,,1,1,1,1,1,1,1,Pod ,0,0,0,1,0,,
Myrtaceae,Psidium,galapageium,1,En,1,6,,1,,,1,,1,,1,1,,1,1,Berry,0,1,0,0,0,,
Rubiaceae,Psychotria,angustata,1,En,1,2,,,1,,,,,,1,,,,1,Berry-like,0,1,0,0,0,,
Rubiaceae,Psychotria,rufipes,1,En,1,7,,1,1,,1,,1,,1,1,,1,1,Berry-like,0,1,0,0,0,,
Cyperaceae,Pycreus,polystachyos,,Id,1,3,,,,,1,,,,,1,,1,,,1,0,0,0,0,,presence
Cyperaceae,Pycreus,bipartitus,,Id,1,4,,,,,1,,,,1,1,,1,,,1,0,0,0,0,,
Ranunculaceae,Ranunculus,flagelliformis,,Id,1,1,,,,,,,,,,1,,,1,Achene,1,0,0,0,0,,
Rhizophoraceae,Rhizophora,mangle,1,Id,1,10,1,1,1,1,1,1,,1,1,1,,1,1,Berry,0,0,0,1,0,,exclusive
Fabaceae,Rhynchosia,minima,1,Id,1,12,1,1,1,1,1,1,1,1,1,1,1,1,1,Pod,1,0,0,0,0,,
Cyperaceae,Rhynchospora,rugosa,1,Id,1,3,,,,,1,,,,,1,,1,5,Achene,1,0,0,0,0,,
Cyperaceae,Rhynchospora,nervosa,1,Id,1,5,,,1,,1,,,,1,1,,1,5,Achene,1,0,0,0,0,,
Cyperaceae,Rhynchospora,tenuis,,Id,1,2,,,,,1,,,,,1,,,5,Achene,1,0,0,0,0,,
Cyperaceae,Rhynchospora,contracta,,Id,1,3,,,,,1,,,,1,,,1,5,Achene,1,0,0,0,0,,
Cyperaceae,Rhynchospora,corymbosa,,Id,1,3,,,,,1,,,,1,1,,,5,Achene,1,0,0,0,0,,
Cyperaceae,Rhynchospora,rariflora,,NoData,1,1,,,,,,,,,,1,,,5,Achene,1,0,0,0,0,,
Phytolaccaceae,Rivinia,,,,,,,,,,,,,,,,,,,,,1,,,,,
Brassicaceae,Rorippa,nana,,Id,1,1,,,,,,,,,,,,1,1,Capsule,1,0,0,0,0,,
Acanthaceae,Ruellia,floribunda,1,Id,1,2,,,,,,,,,1,1,,,1,Capsule,1,0,0,0,0,,
Potamogetonaceae,Ruppia,maritima,1,Id,1,4,,,,1,1,,,,1,,,1,1,Nutlet,1,0,0,0,0,,
Cucurbitaceae,Rytidostylis,carthaginensis,,Id,1,5,,,,,1,,1,,1,1,,1,,,0,0,1,0,0,,
Chenopodiaceae,Salicornia,fruticosa,1,Id,1,2,,,,,,,,,1,,,1,1,Utricle,0,0,0,1,0,,exclusive
Lamiaceae,Salvia,occidentalis,1,Id,1,7,,1,1,,1,,1,,1,1,,1,2,Nucule,1,0,0,0,0,,
Lamiaceae,Salvia,prostrata,,En,1,3,,,1,,,,,,1,,,1,2,Nucule,1,0,0,0,0,,
Lamiaceae,Salvia,pseudoserotina,,En,1,3,,,1,,1,,,,,1,,,2,Nucule,1,0,0,0,0,,
,Sapindus,,,,,,,,,,,,,,,,,,,,,0.5,,0.5,,,
Asclepiadaceae,Sarcostemma,angustissimum,1,En,1,9,1,1,1,,1,,1,1,1,1,,1,1,Follicle,0,0,0,0,1,,
Goodeniaceae,Scaevola,plumieri,1,Id,1,4,,,1,,1,,,,1,1,,,1,Drupe,0,0.5,0,0.5,0,Two syndromes,
Asteraceae,Scalesia,aspera,1,En,1,1,,,,,,,,,,1,,,1,Achene,1,0,0,0,0,,
Asteraceae,Scalesia,atractyloides,1,En,1,1,,,,,,,,,,,,1,1,Achene,1,0,0,0,0,,
Asteraceae,Scalesia,cordata,1,En,1,1,,,,,1,,,,,,,,1,Achene,0,0,1,0,0,,
Asteraceae,Scalesia,divisa,1,En,1,1,,,,,,,,,1,,,,1,Achene,1,0,0,0,0,,
Asteraceae,Scalesia,gordilloi,1,En,1,1,,,,,,,,,1,,,,1,Achene,1,0,0,0,0,,
Asteraceae,Scalesia,retroflexa,1,En,1,1,,,,,,,,,,1,,,1,Achene,1,0,0,0,0,,
Asteraceae,Scalesia,crockeri,1,En,1,1,,,,,,,,,,1,,,1,Achene,1,0,0,0,0,,
Asteraceae,Scalesia,baurii,1,En,1,2,,,,,,,1,1,,,,,1,Achene,1,0,0,0,0,,
Asteraceae,Scalesia,helleri,1,En,1,2,,,,,,,,,,1,1,,1,Achene,1,0,0,0,0,,
Asteraceae,Scalesia,microcephala,1,En,1,2,,1,,,1,,,,,,,,1,Achene,1,0,0,0,0,,
Asteraceae,Scalesia,stewartii,1,En,1,2,,,,,,,,,,1,,1,1,Achene,1,0,0,0,0,,
Asteraceae,Scalesia,villosa,1,En,1,2,,,1,,,,,,,1,,,1,Achene,1,0,0,0,0,,
Asteraceae,Scalesia,incisa,1,En,1,3,,,,,,,1,1,1,,,,1,Achene,1,0,0,0,0,,
Asteraceae,Scalesia,affinis,1,En,1,4,,1,1,,1,,,,,1,,,1,Achene,1,0,0,0,0,,
Asteraceae,Scalesia,pedunculata,1,En,1,5,,,1,,1,,,,1,1,,1,1,Achene,1,0,0,0,0,,
Cyperaceae,Scleria,melaleuca,1,Id,1,4,,,,,1,,,,1,1,,1,2,Achene,1,0,0,0,0,,
Cyperaceae,Scleria,distans,,Id,1,1,,,,,,,,,,1,,,2,Achene,0,0,1,0,0,,
Loasaceae,Sclerothrix,,,,,,,,,,,,,,,,,,,,1,,,,,,
Scrophulariaceae,Scoparia,dulcis,1,Id,1,6,,1,1,,1,,,,1,1,,1,1,Capsule,1,0,0,0,0,,
Rhamnaceae,Scutia,spicata,1,EnQ,1,8,1,,1,,1,,,1,1,1,1,1,1,Nutlet,0,1,0,0,0,,
Caesalpinaceae,Senna,uniflora,1,Id,1,2,,,,,,,,,1,1,,,3,Pod,1,0,0,0,0,,
Caesalpinaceae,Senna,occidentalis,1,Id,1,5,,,1,,1,,,,1,1,,1,3,Pod,1,0,0,0,0,,
Caesalpinaceae,Senna,pistaciifolia,1,Id,1,6,,1,1,,1,,,,1,1,,1,3,Pod,1,0,0,0,0,,
Aizoaceae,Sesuvium,edmondstonei,1,EnQ,1,10,1,1,1,1,1,,1,1,1,1,,1,2,Capsule,0,0,0,1,0,,exclusive
Aizoaceae,Sesuvium,portulacastrum,1,Id,1,10,,1,1,1,1,1,1,,1,1,1,1,2,Capsule,0,0,0,1,0,,presence
Poaceae,Setaria,parviflora,1,Id,1,5,,,1,,1,,,,1,1,,1,2,Caryopside,1,0,0,0,0,,
Poaceae,Setaria,setosa,1,Id,1,11,1,1,1,,1,1,1,1,1,1,1,1,2,Caryopside,1,0,0,0,0,,
Cucurbitaceae,Sicyocaulis,pentagonus,,En,1,2,,,,,1,,,,,1,,,1,Capsule,1,0,0,0,0,,
Cucurbitaceae,Sicyos,villosus,,En,1,1,,,1,,,,,,,,,,1,Capsule,0,0,1,0,0,,
Malvaceae,Sida,cordata,1,Id,1,2,,,1,,,,1,,,,,,5,Schizocarp,1,0,0,0,0,,
Malvaceae,Sida,hederifolia,1,Id,1,7,,,1,,1,,1,1,1,1,,1,5,Schizocarp,1,0,0,0,0,,
Malvaceae,Sida,spinosa,1,Id,1,9,1,,1,1,1,,1,1,1,1,,1,5,Schizocarp,0,0,1,0,0,,
Malvaceae,Sida,salviifolia,1,Id,1,11,1,1,1,1,1,,1,1,1,1,1,1,5,Schizocarp,1,0,0,0,0,,
Iridaceae,Sisyrinchium,galapagense,,En,1,4,,,1,,1,,,,1,1,,,1,Capsule,1,0,0,0,0,,
Solanaceae,Solanum,erianthum,1,Id,1,6,,1,1,,1,,1,,,1,,1,2,Berry,0,1,0,0,0,,
Solanaceae,Solanum,edmonstonei,,NoData,1,1,,,,,,,,,,1,,,2,Berry,0,1,0,0,0,,
Solanaceae,Solanum,cheesmaniae,1,En,1,8,1,1,1,,1,,,,1,1,1,1,2,Berry,0,1,0,0,0,,
Solanaceae,Solanum,galapagense,1,En,1,9,1,1,1,,1,,1,1,1,1,,1,2,Berry,0,1,0,0,0,,
Asteraceae,Soliva,anthemifolia,,Id,1,2,,,,,,,,,1,,,1,1,Achene,0,0,1,0,0,,
Rubiaceae,Spermacoce,remota,1,Id,1,6,,1,1,,1,,,,1,1,,1,1,Capsule,1,0,0,0,0,,
,Spilanthes,,,,,,,,,,,,,,,,,,,,,,1,,,,
Poaceae,Sporobolus,pyramidatus,1,Id,1,6,1,1,,,1,,,,1,1,,1,,,1,0,0,0,0,,
Poaceae,Sporobolus,indicus,1,Id,1,8,1,1,1,,1,,1,,1,1,,1,,,1,0,0.5,0,0,,
Poaceae,Sporobolus,virginicus,1,Id,1,8,1,1,1,1,1,,,,1,1,,1,,,1,0,0,0,0,,exclusive
Scrophulariaceae,Stemodia,,,,,,,,,,,,,,,,,,,,1,,,,,,
Poaceae,Stenotaphrum,secundatum,1,Id,1,4,,,1,,1,,,,1,1,,,1,Caryopside,0,0,0,1,0,,
Fabaceae,Stylosanthes,sympodiales,1,Id,1,10,,1,1,1,1,1,1,1,1,1,,1,1,Pod,0.5,0,0.5,0,0,,
,Talinum,,,,,,,,,,,,,,,,,,,,1,,,,,,
Fabaceae,Tephrosia,cinerea,1,Id,1,9,1,1,1,,1,,1,,1,1,1,1,1,Pod,1,0,0,0,0,,
Acanthaceae,Tetramerium,nervosum,1,Id,1,7,,1,1,,1,,1,,1,1,,1,1,Capsule,1,0,0,0,0,,
Lamiaceae,Teucrium,vesicarium,1,Id,1,4,,,1,,1,,,,1,1,,,1,Nutlet,0,0,1,0,0,,
Bromeliaceae,Tillandsia,insularis,1,En,1,7,,1,1,,1,,,1,1,1,,1,1,Capsule,0,0,0,0,1,,
Boraginaceae,Tiquilia,nesiotica,1,En,1,2,,,,,,,,,,1,,1,,,0,0,1,0,0,,
Boraginaceae,Tiquilia,darwinii,1,En,8,10,1,,1,1,1,1,1,,1,1,1,1,,,0,0,1,0,0,,
Boraginaceae,Tiquilia,galapagoa,1,En,1,10,,1,1,1,1,1,1,,1,1,1,1,,,0,0,1,0,0,,
Boraginaceae,Tiquilia,fusca,1,En,8,11,1,1,1,1,1,1,1,,1,1,1,1,,,0,0,1,0,0,,
Boraginaceae,Tournefortia,psilostachya,1,Id,1,8,1,,1,,1,,1,1,1,1,,1,2,Drupe,0,1,0,0,0,,
Boraginaceae,Tournefortia,pubescens,1,En,1,7,,1,1,,1,,,1,1,1,,1,2,Drupe,0,1,0,0,0,,
Boraginaceae,Tournefortia,rufo-sericea,1,En,1,8,,1,1,,1,,1,1,1,1,,1,2,Drupe,0,1,0,0,0,,
Ulma,Trema,,,,,,,,,,,,,,,,,,,Drupe,,1,,,,,
Aizoaceae,Trianthema,portulacastrum,1,Id,1,10,1,,1,1,1,,1,1,1,1,1,1,1,Capsule,0,0,0,1,0,,presence
Zygophyllaceae,Tribulus,,,,,,,,,,,,,,,,,,,,,,1,,,,
Poaceae,Trichoneura,lindleyana,1,En,1,12,1,1,1,1,1,1,1,1,1,1,1,1,1,Caryopside,1,0,0,0,0,,
Poaceae,Trisetum,howellii,,En,1,5,,1,,,1,,,,1,1,1,,1,Caryopside,0,0,1,0,0,,
Tiliaceae,Triumfetta,,,,,,,,,,,,,,,,,,,,,,1,,,,
Orchidaceae,Tropidia,polystachya,,Id,1,3,,,,,1,,1,,,1,,,1,Capsule,0,0,0,0,1,,
Turneraceae,Turnera,,,,,,,,,,,,,,,,,,,,1,,,,,,
Poaceae,Uniola,pittieri,,Id,1,2,,,,,,,,,1,1,,,1,Panicle,0,0,0,1,0,,
Urticaceae,Urera,,,,,,,,,,,,,,,,,,,,1,1,,,,,
Lentibulariaceae,Utricularia,foliosa,,Id,1,1,,,,,,,,,1,,,,1,Capsule,1,0,0,0,0,,
Apocynaceae,Vallesia,glabra,1,En,8,7,1,,1,,1,,,1,1,1,,1,1,Drupe,0,1,0,0,0,,
linaceae,Verbena,grisea,,En,1,1,,,,,,,,1,,,,,2,Schizocarp,0,0,1,0,0,,
Verbenaceae,Verbena,galapagosensis,,En,1,1,,,,,,,,,,1,,,2,Schizocarp,0,0,1,0,0,,
Verbenaceae,Verbena,sedula,,En,1,3,,,,,,,,,1,1,,1,2,Schizocarp,0,0,1,0,0,,
Verbenaceae,Verbena,townsendii,,En,1,5,,1,,,1,,1,,1,1,,,2,Schizocarp,0,0,1,0,0,,
Verbenaceae,Verbena,glabrata,,NoData,1,1,,,,,1,,,,,,,,2,Schizocarp,0,0,1,0,0,,
Verbenaceae ,Verbena,stewartii,,NoData,1,2,,1,,,1,,,,,,,,2,Schizocarp,0,0,1,0,0,,
Fabaceae,Vigna,adenantha,1,Id,1,2,,,,,,,,,1,1,,,1,Pod,0.5,0,0,0.5,0,,
Fabaceae,Vigna,luteola,1,Id,1,6,,1,,,1,,1,,1,1,,1,1,Pod,0.5,0,0,0.5,0,,
Sterculiaceae,Waltheria,ovata,1,Id,1,11,1,1,1,1,1,1,1,,1,1,1,1,1,Capsule,1,0,0,0,0,,
Rutaceae,Zanthoxylum,fagara,1,Id,1,9,1,1,1,,1,,1,1,1,1,,1,1,follicle,0,1,0,0,0,,
Asteraceae,Zinnia,,,,,,,,,,,,,,,,,,,,,,1,,,,
Leguminosae,Zornia,,,,,,,,,,,,,,,,,,,,,,1,,, ,
,,,312,,,,,,,,,,,,,,,,,,226,61.5,53.5,49.5,43,Total = 308.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,nombre,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
