"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
0,467.820485108694,168.374260475771,131.628506856601,609.375504464631,1258.5333642399,814.940083422077,672.660628480746,350.894218593544,900.586354082959,554.680204686254,460.520462160369,744.821372817284,586.845464366514,803.198797414716,1738.8634778663,593.5519711438,1292.05716854369,1276.06982633213,2040.62074411349,1073.82140286362,2259.34333452821,1731.18980833241,1935.27991334761,2144.9570694995,2439.95792250451,3044.05818069133,2623.71378353935,2260.3142082685,3124.54704198001,2289.21629482554,2381.78061024875,2610.01676169368,2810.20596841972,2507.70908122839
467.820485108694,0,145.824279419869,225.427788111966,320.842692753258,542.292957250967,321.79801545602,421.335362699643,226.958804137175,240.293781295423,434.963756029012,208.987651694112,753.400549884361,416.357516945693,391.115223256868,1058.04821212244,473.646684667264,1099.05319927657,1042.23943580743,1625.60060077241,916.462758153459,2121.86147225809,1298.87422792512,1484.19294918116,1871.98426672024,1612.83015985337,2068.97456779616,2521.84706154617,2191.38494030648,2797.06750441795,2133.73869991336,2079.25710974419,2405.61784410431,2455.61536039872,2352.2314863162
168.374260475771,145.824279419869,0,805.167734400126,359.319656751888,682.621175640256,519.966394997753,473.200052076047,186.872325666635,463.563648061851,419.441433003731,335.580340089224,450.966326857279,419.954509835944,546.99323647494,1192.10680764394,344.526414051348,1119.04726335071,999.067065645536,1924.25669585124,900.402004624764,2000.33630648368,1454.18704764582,1658.27715266101,1867.9543088129,2162.95516181792,2754.73495457295,2365.26790678938,2134.89803254939,2847.54428129342,2012.21353413895,2031.74342907746,2373.81391745859,2471.48396160488,2230.70632054179
131.628506856601,225.427788111966,805.167734400126,0,232.519249195611,761.382927797413,575.996640501482,361.530943775802,651.408283218594,677.19246087468,876.06727355611,694.338810620751,1339.76031718788,1091.48674413127,945.008979222289,1615.17836720014,839.466050167985,1495.1638977735,1324.8502446912,1923.82421821208,1228.41203066358,2430.48568106633,1560.65996918136,1749.5090819771,2137.30039951619,1874.61590110961,2303.95320309468,2866.89113969719,2623.29945393011,3277.69365587607,2442.36290872161,2778.70439210702,2813.84796309855,3123.83449385011,2660.85569512445
609.375504464631,320.842692753258,359.319656751888,232.519249195611,0,455.045871542721,2.14274772000236,41.3129705987777,235.427062606162,255.435931342696,476.938945061558,245.416923978493,1027.18591270214,704.429544848289,382.737249414995,782.298462049308,620.282216602661,876.364065146011,729.281289933954,1373.51882402415,531.868970709374,2012.30606225622,1735.51551453808,2134.62415431464,2223.17632080536,1873.30471934613,2709.00677726972,2363.25646201798,2012.62453357867,2866.41950582895,2032.02711948237,2211.45070406343,2340.74213109307,2444.18353449736,2260.68648081418
1258.5333642399,542.292957250967,682.621175640256,761.382927797413,455.045871542721,0,38.2772575146146,38.7588958634521,254.354782339186,344.222547204716,529.838949921408,450.389946936836,1380.15368710698,1056.14492427912,366.39876293346,724.366020103439,536.216882298636,858.522913963649,916.886065248054,1312.95200051038,863.91258179014,1826.95272222412,1679.15255297655,1823.4214056274,2293.06851569439,2011.69334711016,2785.72808839881,2307.62192220269,1863.78143300869,2461.01906662345,1959.1346771755,2137.7311699855,2259.08445672013,2379.37778704765,2094.4918754587
814.940083422077,321.79801545602,519.966394997753,575.996640501482,2.14274772000236,38.2772575146146,0,342.069370821898,271.383106966626,225.238166182911,431.891969354222,299.267634297802,1242.68155529455,904.395170536447,389.156172938066,747.123430108045,480.329879817965,896.240324329264,927.232174542718,1405.9731568145,818.778022507519,1977.13103031495,1614.25842173824,2224.52876976259,2374.04618903313,1752.04762654629,2722.81242821325,2248.43046482878,1977.44950163741,2831.24447388769,1996.85208754111,2319.96675126342,2277.15741344294,2329.35753730816,2145.86048362498
672.660628480746,421.335362699643,473.200052076047,361.530943775802,41.3129705987777,38.7588958634521,342.069370821898,0,450.030448269316,320.739410227915,656.322908304587,441.758679408183,1203.15479638456,814.760305860101,697.899436371174,1055.86669354115,790.164358857232,1176.48060698889,1143.66885792661,1860.15352372178,946.256538702026,2285.87429374806,1926.96314929196,2460.59561042726,2637.56388879801,2064.75235410001,3046.92282872375,2632.00322621629,2286.19276507052,3098.19327142331,2305.59535097422,2635.49842215698,2608.22912862818,2671.14033252811,2619.46250363566
350.894218593544,226.958804137175,186.872325666635,651.408283218594,235.427062606162,254.354782339186,271.383106966626,450.030448269316,0,426.878694313522,84.145249658347,29.0010647902291,453.608945905921,349.577853293009,325.734327839004,797.180201647713,121.994439850597,900.821846590031,777.8081570096,1715.52564103465,631.480616838554,1779.07739784774,1232.92813900988,1437.01824402508,1646.69540017697,1941.69625318198,2520.33395669916,2127.75391064677,1971.89117071152,2626.28537265748,1790.95462550302,2127.29610888843,2137.70550774613,2232.36964114085,2009.44741190586
900.586354082959,240.293781295423,463.563648061851,677.19246087468,255.435931342696,344.222547204716,225.238166182911,320.739410227915,426.878694313522,0,80.044796661046,256.674693700506,866.387170084426,692.99512173948,124.636022896262,615.742441630095,188.005387453271,627.972813681031,667.024455002527,944.528346810825,362.425111949184,1745.62177505276,1104.7042334752,1184.13839149676,1571.92970903585,1424.94756153986,1985.13702715892,1869.10209686303,1745.89059224429,2430.23319744906,1773.50309615908,1712.4228027753,1791.78772464799,1914.27062474954,1808.19720445438
554.680204686254,434.963756029012,419.441433003731,876.06727355611,476.938945061558,529.838949921408,431.891969354222,656.322908304587,84.145249658347,80.044796661046,0,210.702018057035,693.495255651689,385.721472253001,144.993708753982,562.259518111377,6.16498815336902,616.812145371133,654.257606464073,1058.63039625269,399.518654480348,1659.10278051642,1112.95352167855,1317.04362669375,1526.72078284564,1759.70238073423,2319.89184635329,1910.64690764016,1828.9951896318,2506.31075532615,1670.98000817169,1916.91040081615,1920.59850473952,2015.26263813424,1837.0404417001
460.520462160369,208.987651694112,335.580340089224,694.338810620751,245.416923978493,450.389946936836,299.267634297802,441.758679408183,29.0010647902291,256.674693700506,210.702018057035,0,772.229183063731,456.115274083281,542.444693951839,1333.83867270145,400.947350100232,1229.92548955792,1197.62919089209,1563.25539392027,723.284055214872,2198.89843173023,1652.74917289237,1856.83927790757,2066.51643405946,2167.75569854753,2702.34536977752,2428.65814674782,2347.00642873945,3046.10640653997,2210.77565938551,2173.40598321856,2438.60974384718,2533.27387724189,2355.05168080775
744.821372817284,753.400549884361,450.966326857279,1339.76031718788,1027.18591270214,1380.15368710698,1242.68155529455,1203.15479638456,453.608945905921,866.387170084426,693.495255651689,772.229183063731,0,220.81806371143,466.893096292902,369.011498082789,783.093396098237,325.776516433608,921.730438216823,762.911320531463,369.533993833837,891.741603504434,968.815137142653,1068.88416395516,1148.04838941414,1562.75421145661,1976.58027497542,1025.23862831562,891.894275252908,1526.02168694093,914.702015324726,808.211292267172,1033.78463898483,1131.45468313112,963.556204168566
586.845464366514,416.357516945693,419.954509835944,1091.48674413127,704.429544848289,1056.14492427912,904.395170536447,814.760305860101,349.577853293009,692.99512173948,385.721472253001,456.115274083281,220.81806371143,0,877.3989850655,1106.12334970372,563.75443868637,879.667436068817,1574.5761061592,1334.10857820103,1075.07031720065,1293.00599523487,1774.259265995,1721.72983189754,1794.26408122928,2083.85136697199,2801.22994926342,1623.71381670859,1293.2516954689,1898.93425958036,1641.69145009655,1181.12386490661,1507.48459926673,1557.48211556114,1486.71742918037
803.198797414716,391.115223256868,546.99323647494,945.008979222289,382.737249414995,366.39876293346,389.156172938066,697.899436371174,325.734327839004,124.636022896262,144.993708753982,542.444693951839,466.893096292902,877.3989850655,0,255.480580893043,34.5649965798212,336.119746167257,434.094414156779,638.829470019746,134.674207235859,1319.22427754363,907.193811170876,1033.01268984525,1320.96107233796,1362.35615916459,1868.64097364359,1422.7736279152,1353.6920248859,1953.29062194296,1382.47153458374,1219.55989280789,1447.17010211355,1506.0734586985,1359.37975644151
1738.8634778663,1058.04821212244,1192.10680764394,1615.17836720014,782.298462049308,724.366020103439,747.123430108045,1055.86669354115,797.180201647713,615.742441630095,562.259518111377,1333.83867270145,369.011498082789,1106.12334970372,255.480580893043,0,736.1769122186,263.511554498633,476.037870790928,1087.26052578368,391.400664219259,1334.24854920342,1063.74573686455,1080.99586403242,1290.67302018431,1446.39439781512,1887.26293499972,1388.49188543331,1334.49424943745,1940.17681354891,1348.18979210186,1222.36641887516,1468.30230713522,1598.72466952969,1380.51196146318
593.5519711438,473.646684667264,344.526414051348,839.466050167985,620.282216602661,536.216882298636,480.329879817965,790.164358857232,121.994439850597,188.005387453271,6.16498815336902,400.947350100232,783.093396098237,563.75443868637,34.5649965798212,736.1769122186,0,751.477289986948,628.463600406516,1533.15377659478,526.580556450184,1629.73284124466,1083.5835824068,1287.67368742199,1497.35084357388,1792.35169657889,2590.04857491628,1979.3691939233,1822.54661410844,2476.9408160544,1641.61006889993,1965.30888497341,1989.32079102266,2069.54742616454,1860.10285530277
1292.05716854369,1099.05319927657,1119.04726335071,1495.1638977735,876.364065146011,858.522913963649,896.240324329264,1176.48060698889,900.821846590031,627.972813681031,616.812145371133,1229.92548955792,325.776516433608,879.667436068817,336.119746167257,263.511554498633,751.477289986948,0,870.95742174615,301.530243633281,249.148931513634,649.773778840783,501.973609593215,447.617811417778,745.873553586937,810.110826374066,1325.35409577613,784.578814759538,686.602489625353,1283.84012324011,685.809940959038,826.10063709991,874.321382818969,782.850332938663,727.271911736008
1276.06982633213,1042.23943580743,999.067065645536,1324.8502446912,729.281289933954,916.886065248054,927.232174542718,1143.66885792661,777.8081570096,667.024455002527,654.257606464073,1197.62919089209,921.730438216823,1574.5761061592,434.094414156779,476.037870790928,628.463600406516,870.95742174615,0,278.400117550708,125.881809907125,1007.23368390076,489.442505768672,761.668218505092,1093.40154755752,840.530940786583,1086.6767164005,1202.24710221422,1010.30345957132,1670.34649955627,944.926745903241,1150.64292188461,1198.14782061728,1367.67969200597,1114.56023451799
2040.62074411349,1625.60060077241,1924.25669585124,1923.82421821208,1373.51882402415,1312.95200051038,1405.9731568145,1860.15352372178,1715.52564103465,944.528346810825,1058.63039625269,1563.25539392027,762.911320531463,1334.10857820103,638.829470019746,1087.26052578368,1533.15377659478,301.530243633281,278.400117550708,0,735.575369423892,475.83283230725,218.928371954019,377.022095462435,861.95203256913,496.681325857281,1002.97778479309,810.319020656122,476.056046582362,1358.55826008341,671.321727996911,728.61592435464,733.141366509824,894.419113085102,735.327101625146
1073.82140286362,916.462758153459,900.402004624764,1228.41203066358,531.868970709374,863.91258179014,818.778022507519,946.256538702026,631.480616838554,362.425111949184,399.518654480348,723.284055214872,369.533993833837,1075.07031720065,134.674207235859,391.400664219259,526.580556450184,249.148931513634,125.881809907125,735.575369423892,0,844.070874937338,663.327214808943,840.539558340617,1310.18666840761,1028.81149982338,1819.9166873757,1240.34361323303,880.899585721908,1478.13721933666,1055.04587774032,1246.29265437013,1187.67160569664,1310.15450579819,1147.46392900623
2259.34333452821,2121.86147225809,2000.33630648368,2430.48568106633,2012.30606225622,1826.95272222412,1977.13103031495,2285.87429374806,1779.07739784774,1745.62177505276,1659.10278051642,2198.89843173023,891.741603504434,1293.00599523487,1319.22427754363,1334.24854920342,1629.73284124466,649.773778840783,1007.23368390076,475.83283230725,844.070874937338,0,690.306705407097,592.592183861118,137.193785473061,1294.29714796734,108.920781134473,394.565451576062,0.152671748473672,278.216488246464,138.179361476135,497.939732106913,394.860095203303,441.762372672822,418.266346369779
1731.18980833241,1298.87422792512,1454.18704764582,1560.65996918136,1735.51551453808,1679.15255297655,1614.25842173824,1926.96314929196,1232.92813900988,1104.7042334752,1112.95352167855,1652.74917289237,968.815137142653,1774.259265995,907.193811170876,1063.74573686455,1083.5835824068,501.973609593215,489.442505768672,218.928371954019,663.327214808943,690.306705407097,0,137.244802263667,638.889148056795,35.7241088219065,438.26963421219,843.136809399978,696.983821503963,966.008595383881,879.65333147103,1051.03316550723,922.868858918098,1013.3884549338,969.899618028118
1935.27991334761,1484.19294918116,1658.27715266101,1749.5090819771,2134.62415431464,1823.4214056274,2224.52876976259,2460.59561042726,1437.01824402508,1184.13839149676,1317.04362669375,1856.83927790757,1068.88416395516,1721.72983189754,1033.01268984525,1080.99586403242,1287.67368742199,447.617811417778,761.668218505092,377.022095462435,840.539558340617,592.592183861118,137.244802263667,0,290.107427516731,616.717687259459,1312.93733540737,696.76078644825,619.48908280116,1300.64473314827,585.036156971675,784.854956764241,769.030878518992,812.409756884654,718.121447164654
2144.9570694995,1871.98426672024,1867.9543088129,2137.30039951619,2223.17632080536,2293.06851569439,2374.04618903313,2637.56388879801,1646.69540017697,1571.92970903585,1526.72078284564,2066.51643405946,1148.04838941414,1794.26408122928,1320.96107233796,1290.67302018431,1497.35084357388,745.873553586937,1093.40154755752,861.95203256913,1310.18666840761,137.193785473061,638.889148056795,290.107427516731,0,1149.84059923496,791.900906262552,662.281376820212,219.294414534196,850.440633326686,397.42646630691,621.715887889405,569.612656089859,642.338116932621,582.796926271908
2439.95792250451,1612.83015985337,2162.95516181792,1874.61590110961,1873.30471934613,2011.69334711016,1752.04762654629,2064.75235410001,1941.69625318198,1424.94756153986,1759.70238073423,2167.75569854753,1562.75421145661,2083.85136697199,1362.35615916459,1446.39439781512,1792.35169657889,810.110826374066,840.530940786583,496.681325857281,1028.81149982338,1294.29714796734,35.7241088219065,616.717687259459,1149.84059923496,0,402.772259256905,1472.92271732877,963.93395781156,782.181061324841,1342.3376743458,1606.55957913846,1517.51104657611,1458.07577840045,1459.84999688568
3044.05818069133,2068.97456779616,2754.73495457295,2303.95320309468,2709.00677726972,2785.72808839881,2722.81242821325,3046.92282872375,2520.33395669916,1985.13702715892,2319.89184635329,2702.34536977752,1976.58027497542,2801.22994926342,1868.64097364359,1887.26293499972,2590.04857491628,1325.35409577613,1086.6767164005,1002.97778479309,1819.9166873757,108.920781134473,438.26963421219,1312.93733540737,791.900906262552,402.772259256905,0,505.814599785426,57.0054810792802,261.991259878969,150.566273647414,644.733006123176,497.787952444381,528.225177725224,763.243413751888
2623.71378353935,2521.84706154617,2365.26790678938,2866.89113969719,2363.25646201798,2307.62192220269,2248.43046482878,2632.00322621629,2127.75391064677,1869.10209686303,1910.64690764016,2428.65814674782,1025.23862831562,1623.71381670859,1422.7736279152,1388.49188543331,1979.3691939233,784.578814759538,1202.24710221422,810.319020656122,1240.34361323303,394.565451576062,843.136809399978,696.76078644825,662.281376820212,1472.92271732877,505.814599785426,0,353.063947694446,142.958076642424,170.423270795441,23.724840937551,0.740740705557445,9.63861912834303,52.773879186481
2260.3142082685,2191.38494030648,2134.89803254939,2623.29945393011,2012.62453357867,1863.78143300869,1977.44950163741,2286.19276507052,1971.89117071152,1745.89059224429,1828.9951896318,2347.00642873945,891.894275252908,1293.2516954689,1353.6920248859,1334.49424943745,1822.54661410844,686.602489625353,1010.30345957132,476.056046582362,880.899585721908,0.152671748473672,696.983821503963,619.48908280116,219.294414534196,963.93395781156,57.0054810792802,353.063947694446,0,263.298107592454,25.4587989684369,664.283196066532,432.501856096686,464.797971024293,578.054096611272
3124.54704198001,2797.06750441795,2847.54428129342,3277.69365587607,2866.41950582895,2461.01906662345,2831.24447388769,3098.19327142331,2626.28537265748,2430.23319744906,2506.31075532615,3046.10640653997,1526.02168694093,1898.93425958036,1953.29062194296,1940.17681354891,2476.9408160544,1283.84012324011,1670.34649955627,1358.55826008341,1478.13721933666,278.216488246464,966.008595383881,1300.64473314827,850.440633326686,782.181061324841,261.991259878969,142.958076642424,263.298107592454,0,610.849122944353,211.965754875424,190.258425062663,71.3894129553794,226.628300060358
2289.21629482554,2133.73869991336,2012.21353413895,2442.36290872161,2032.02711948237,1959.1346771755,1996.85208754111,2305.59535097422,1790.95462550302,1773.50309615908,1670.98000817169,2210.77565938551,914.702015324726,1641.69145009655,1382.47153458374,1348.18979210186,1641.61006889993,685.809940959038,944.926745903241,671.321727996911,1055.04587774032,138.179361476135,879.65333147103,585.036156971675,397.42646630691,1342.3376743458,150.566273647414,170.423270795441,25.4587989684369,610.849122944353,0,205.715740376942,65.8276136004414,73.4797493860906,176.645623637385
2381.78061024875,2079.25710974419,2031.74342907746,2778.70439210702,2211.45070406343,2137.7311699855,2319.96675126342,2635.49842215698,2127.29610888843,1712.4228027753,1916.91040081615,2173.40598321856,808.211292267172,1181.12386490661,1219.55989280789,1222.36641887516,1965.30888497341,826.10063709991,1150.64292188461,728.61592435464,1246.29265437013,497.939732106913,1051.03316550723,784.854956764241,621.715887889405,1606.55957913846,644.733006123176,23.724840937551,664.283196066532,211.965754875424,205.715740376942,0,10.7390731558013,1.15382702860454,0.395031702570268
2610.01676169368,2405.61784410431,2373.81391745859,2813.84796309855,2340.74213109307,2259.08445672013,2277.15741344294,2608.22912862818,2137.70550774613,1791.78772464799,1920.59850473952,2438.60974384718,1033.78463898483,1507.48459926673,1447.17010211355,1468.30230713522,1989.32079102266,874.321382818969,1198.14782061728,733.141366509824,1187.67160569664,394.860095203303,922.868858918098,769.030878518992,569.612656089859,1517.51104657611,497.787952444381,0.740740705557445,432.501856096686,190.258425062663,65.8276136004414,10.7390731558013,0,0.298357277468683,1.41421349520156
2810.20596841972,2455.61536039872,2471.48396160488,3123.83449385011,2444.18353449736,2379.37778704765,2329.35753730816,2671.14033252811,2232.36964114085,1914.27062474954,2015.26263813424,2533.27387724189,1131.45468313112,1557.48211556114,1506.0734586985,1598.72466952969,2069.54742616454,782.850332938663,1367.67969200597,894.419113085102,1310.15450579819,441.762372672822,1013.3884549338,812.409756884654,642.338116932621,1458.07577840045,528.225177725224,9.63861912834303,464.797971024293,71.3894129553794,73.4797493860906,1.15382702860454,0.298357277468683,0,15.253917325491
2507.70908122839,2352.2314863162,2230.70632054179,2660.85569512445,2260.68648081418,2094.4918754587,2145.86048362498,2619.46250363566,2009.44741190586,1808.19720445438,1837.0404417001,2355.05168080775,963.556204168566,1486.71742918037,1359.37975644151,1380.51196146318,1860.10285530277,727.271911736008,1114.56023451799,735.327101625146,1147.46392900623,418.266346369779,969.899618028118,718.121447164654,582.796926271908,1459.84999688568,763.243413751888,52.773879186481,578.054096611272,226.628300060358,176.645623637385,0.395031702570268,1.41421349520156,15.253917325491,0
