Family,Genus ,Species,littoral,Used_for_the_AoB_paper,origin,Taxon_Status,#Islands,Espanola,Fernandina,Floreana,Genovesa,Isabela,Marchena,Pinta,Pinzon,San_Cristobal,Santa_Cruz,Santa_Fe,Santiago,Introductions,Fruit_type,UNS,END,EPI,THA,ANE,Used_for_the_AoB_paper,littoral
Poaceae,Paspalum,penicillatum,,,Id,1,4,,1,1,,1,,,,,1,,,3,Caryopside,1,0,0,0,0,,
Passifloraceae,Passiflora,tridactylites,,,En,1,5,1,,,,1,,1,,,1,,1,3,Berry,0,1,0,0,0,,
Passifloraceae,Passiflora,foetida,,,En,1,6,1,,1,,1,,,,1,1,,1,3,Berry,0,1,0,0,0,,
Passifloraceae,Passiflora,colinvauxii,,,En,1,1,,,,,,,,,,1,,,3,Berry,0,1,0,0,0,,
Passifloraceae,Passiflora,suberosa,,,Id,1,8,1,1,1,,1,,1,,1,1,,1,3,Berry,0,1,0,0,0,,
Asteraceae,Pectis,subsquarrosa,,,En,1,10,1,1,1,,1,,1,1,1,1,1,1,2,Achene,0,0,0,0,1,,
Asteraceae,Pectis,tenuifolia,,,En,1,10,1,1,1,1,1,,1,,1,1,1,1,2,Achene,0,0,0,0,1,,
Poaceae,Pennisetum,pauperum,,,En,1,3,,1,,,1,,,,,,,1,1,Caryopside,0.5,0,0.5,0,0,,
Piperaceae,Peperomia,rotundata,,,Id,1,3,,,,,1,,,,,1,,1,3,Drupe-like,0,0,1,0,0,,
Piperaceae,Peperomia,petiolata,,,En,1,8,,1,1,,1,,1,1,1,1,,1,3,Drupe-like,0,0,1,0,0,,
Piperaceae,Peperomia,galioides,,,Id,1,8,,1,1,,1,,1,1,1,1,,1,3,Drupe-like,0,0,1,0,0,,
Piperaceae,Peperomia,inaequalifolia,,,Id,1,8,,1,1,,1,,1,1,1,1,,1,3,Drupe-like,0,0,1,0,0,,
Ericaceae,Pernettya,howellii,,,En,1,2,,,,,1,,,,,1,,,1,Berry,0,1,0,0,0,,
Polygonaceae,Persicaria,hydropiperoides,,,Id,1,5,,,1,,1,,,,1,1,,1,,,1,0,0,0,0,,
Polygonaceae,Persicaria,acuminata,,,Id,1,1,,,,,,,,,,1,,,,,1,0,0,0,0,,
Fabaceae,Phaseolus,mollis,,,En,1,6,,1,,,1,,1,,1,1,,1,3,Pod,1,0,0,0,0,,
Fabaceae,Phaseolus,cytisoides,,,NoData,8,1,,,,,,,,,,1,,,3,Pod,1,0,0,0,0,,
Amaranthaceae,Philoxerus,,,,,,,,,,,,,,,,,,,,,0.5,,,0.5,,,
Viscaceae,Phoradendron,berteroanum,,Two syndromes,NoData,1,8,,1,1,,1,,1,1,1,1,,1,1,Drupe,0,0.5,0.5,0,0,Two syndromes,
Verbenaceae,Phyla,strigulosa,,,Id,1,6,1,,1,,1,,,1,1,1,,,1,Dry,1,0,0,0,0,,
Euphorbiaceae,Phyllanthus,caroliniensis,,,Id,1,7,,1,1,,1,,1,,1,1,,1,1,Capsule,1,0,0,0,0,,
Solanaceae,Physalis,galapagoensis,,Two syndromes,En,1,7,1,1,1,,1,,,,1,1,,1,3,Berry,0,0.5,0,0.5,0,Two syndromes,
Solanaceae,Physalis,angulata,,Two syndromes,Id,1,10,1,1,1,,1,1,1,,1,1,1,1,3,Berry,0,0.5,0,0.5,0,Two syndromes,
Solanaceae,Physalis,pubescens,,Two syndromes,Id,1,10,1,1,1,1,1,,1,1,,1,1,1,3,Berry,0,0.5,0,0.5,0,Two syndromes,
Phytolaccaceae,Phytolacca,octandra,,,Id,1,3,,,,,1,,,,,1,,1,1,Berry-like,0,1,0,0,0,,
Urticaceae,Pilea,peploides,,,Id,1,3,,1,1,,1,,,,,,,,2,Achene,1,0,0,0,0,,
Urticaceae,Pilea,baurii,,,En,1,9,1,1,1,,1,,1,1,1,1,,1,2,Achene,1,0,0,0,0,,
Fabaceae,Piscidia,carthagenensis,,,Id,1,2,,,,,,,,,1,1,,,1,Pod,1,0,0,0,0,,
Nyctaginaceae,Pisonia,floribunda,,,En,1,8,,1,1,,1,,1,1,1,1,,1,1,Achene,0,0,1,0,0,,
Plantaginaceae,Plantago,galapagensis,,,En,1,5,,,1,,1,,,,1,1,,1,1,Capsule,1,0,0,0,0,,
Amaranthaceae,Pleuropetalum,darwinii,,,En,1,3,,,,,1,,,,,1,,1,1,Capsule,0,1,0,0,0,,
Plumbaginaceae,Plumbago,coerulea,,,Id,1,1,,,,,1,,,,,,,,2,Capsule,0,0,1,0,0,,
Plumbaginaceae,Plumbago,zeylanica,,,Id,1,11,1,1,1,,1,1,1,1,1,1,1,1,2,Capsule,0,0,1,0,0,,
Polygalaceae,Polygala,anderssonii,,,En,1,3,,,,,1,,,,,1,,1,1,Capsule,1,0,0,0,0,,
Polygalaceae,Polygala,sancti-georgii,,,En,1,4,,,1,,,,1,,,1,,1,1,Capsule,1,0,0,0,0,,
Polygalaceae,Polygala,galapageia,,,En,1,7,,1,1,,1,1,,,1,1,,1,1,Capsule,1,0,0,0,0,,
Polygonaceae,Polygonum,punctatum,,,Id,1,4,,,1,,,,,,1,1,,1,4,Achene,1,0,0,0,0,,
Polygonaceae,Polygonum,galapagense,,,En,1,3,,,,,1,,,,1,1,,,4,Achene,1,0,0,0,0,,
Orchidaceae,Ponthieva,maculata,,,Id,1,4,,,,,1,,1,,,1,,1,1,Capsule,0,0,0,0,1,,
,Portulaca,olearace,,,,,,,,,,,,,,,,,,,,,,,,,,
Portulacaceae,Portulaca,howellii,,,En,1,12,1,1,1,1,1,1,1,1,1,1,1,1,3,Capsule,0.5,0,0,0.5,0,,
Potamogetonaceae,Potamogeton,pectinatus,,,Id,1,2,,,,,1,,,,,1,,,1,Drupe-like,0,1,0,0,0,,
Orchidaceae,Prescottia,oligantha,,,Id,1,5,,,,,1,,1,,1,1,,1,1,Capsule,0,0,0,0,1,,
Mimosaceae,Prosopis,juliflora,,,Id,1,9,1,,1,,1,,1,1,1,1,1,1,1,Pod ,0,0,0,1,0,,
Myrtaceae,Psidium,galapageium,,,En,1,6,,1,,,1,,1,,1,1,,1,1,Berry,0,1,0,0,0,,
Rubiaceae,Psychotria,angustata,,,En,1,2,,,1,,,,,,1,,,,1,Berry-like,0,1,0,0,0,,
Rubiaceae,Psychotria,rufipes,,,En,1,7,,1,1,,1,,1,,1,1,,1,1,Berry-like,0,1,0,0,0,,
Cyperaceae,Pycreus,polystachyos,presence,,Id,1,3,,,,,1,,,,,1,,1,,,1,0,0,0,0,,presence
Cyperaceae,Pycreus,bipartitus,,,Id,1,4,,,,,1,,,,1,1,,1,,,1,0,0,0,0,,
Ranunculaceae,Ranunculus,flagelliformis,,,Id,1,1,,,,,,,,,,1,,,1,Achene,1,0,0,0,0,,
Rhizophoraceae,Rhizophora,mangle,exclusive,,Id,1,10,1,1,1,1,1,1,,1,1,1,,1,1,Berry,0,0,0,1,0,,exclusive
Fabaceae,Rhynchosia,minima,,,Id,1,12,1,1,1,1,1,1,1,1,1,1,1,1,1,Pod,1,0,0,0,0,,
Cyperaceae,Rhynchospora,rugosa,,,Id,1,3,,,,,1,,,,,1,,1,5,Achene,1,0,0,0,0,,
Cyperaceae,Rhynchospora,nervosa,,,Id,1,5,,,1,,1,,,,1,1,,1,5,Achene,1,0,0,0,0,,
Cyperaceae,Rhynchospora,tenuis,,,Id,1,2,,,,,1,,,,,1,,,5,Achene,1,0,0,0,0,,
Cyperaceae,Rhynchospora,contracta,,,Id,1,3,,,,,1,,,,1,,,1,5,Achene,1,0,0,0,0,,
Cyperaceae,Rhynchospora,corymbosa,,,Id,1,3,,,,,1,,,,1,1,,,5,Achene,1,0,0,0,0,,
Cyperaceae,Rhynchospora,rariflora,,,NoData,1,1,,,,,,,,,,1,,,5,Achene,1,0,0,0,0,,
Phytolaccaceae,Rivinia,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Brassicaceae,Rorippa,nana,,,Id,1,1,,,,,,,,,,,,1,1,Capsule,1,0,0,0,0,,
Acanthaceae,Ruellia,floribunda,,,Id,1,2,,,,,,,,,1,1,,,1,Capsule,1,0,0,0,0,,
Potamogetonaceae,Ruppia,maritima,,,Id,1,4,,,,1,1,,,,1,,,1,1,Nutlet,1,0,0,0,0,,
Cucurbitaceae,Rytidostylis,carthaginensis,,,Id,1,5,,,,,1,,1,,1,1,,1,,,0,0,1,0,0,,
Chenopodiaceae,Salicornia,fruticosa ,exclusive,,Id,1,2,,,,,,,,,1,,,1,1,Utricle,0,0,0,1,0,,exclusive
Lamiaceae,Salvia,occidentalis,,,Id,1,7,,1,1,,1,,1,,1,1,,1,2,Nucule,1,0,0,0,0,,
Lamiaceae,Salvia,prostrata,,,En,1,3,,,1,,,,,,1,,,1,2,Nucule,1,0,0,0,0,,
Lamiaceae,Salvia,pseudoserotina,,,En,1,3,,,1,,1,,,,,1,,,2,Nucule,1,0,0,0,0,,
,Sapindus,,,,,,,,,,,,,,,,,,,,,,0.5,,0.5,,,
Asclepiadaceae,Sarcostemma,angustissimum,,,En,1,9,1,1,1,,1,,1,1,1,1,,1,1,Follicle,0,0,0,0,1,,
Goodeniaceae,Scaevola,plumieri,exclusive,Two syndromes,Id,1,4,,,1,,1,,,,1,1,,,1,Drupe,0,0.5,0,0.5,0,Two syndromes,
Asteraceae,Scalesia,aspera,,,En,1,1,,,,,,,,,,1,,,1,Achene,1,0,0,0,0,,
Asteraceae,Scalesia,atractyloides,,,En,1,1,,,,,,,,,,,,1,1,Achene,1,0,0,0,0,,
Asteraceae,Scalesia,cordata,,,En,1,1,,,,,1,,,,,,,,1,Achene,0,0,1,0,0,,
Asteraceae,Scalesia,divisa,,,En,1,1,,,,,,,,,1,,,,1,Achene,1,0,0,0,0,,
Asteraceae,Scalesia,gordilloi,,,En,1,1,,,,,,,,,1,,,,1,Achene,1,0,0,0,0,,
Asteraceae,Scalesia,retroflexa,,,En,1,1,,,,,,,,,,1,,,1,Achene,1,0,0,0,0,,
Asteraceae,Scalesia,crockeri,,,En,1,1,,,,,,,,,,1,,,1,Achene,1,0,0,0,0,,
Asteraceae,Scalesia,baurii,,,En,1,2,,,,,,,1,1,,,,,1,Achene,1,0,0,0,0,,
Asteraceae,Scalesia,helleri,,,En,1,2,,,,,,,,,,1,1,,1,Achene,1,0,0,0,0,,
Asteraceae,Scalesia,microcephala,,,En,1,2,,1,,,1,,,,,,,,1,Achene,1,0,0,0,0,,
Asteraceae,Scalesia,stewartii,,,En,1,2,,,,,,,,,,1,,1,1,Achene,1,0,0,0,0,,
Asteraceae,Scalesia,villosa,,,En,1,2,,,1,,,,,,,1,,,1,Achene,1,0,0,0,0,,
Asteraceae,Scalesia,incisa,,,En,1,3,,,,,,,1,1,1,,,,1,Achene,1,0,0,0,0,,
Asteraceae,Scalesia,affinis,,,En,1,4,,1,1,,1,,,,,1,,,1,Achene,1,0,0,0,0,,
Asteraceae,Scalesia,pedunculata,,,En,1,5,,,1,,1,,,,1,1,,1,1,Achene,1,0,0,0,0,,
Cyperaceae,Scleria,melaleuca,,,Id,1,4,,,,,1,,,,1,1,,1,2,Achene,1,0,0,0,0,,
Cyperaceae,Scleria,distans,,,Id,1,1,,,,,,,,,,1,,,2,Achene,0,0,1,0,0,,
Loasaceae,Sclerothrix,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Scrophulariaceae,Scoparia,dulcis,,,Id,1,6,,1,1,,1,,,,1,1,,1,1,Capsule,1,0,0,0,0,,
Rhamnaceae,Scutia,spicata,presence,,EnQ,1,8,1,,1,,1,,,1,1,1,1,1,1,Nutlet,0,1,0,0,0,,
Caesalpinaceae,Senna,uniflora,,,Id,1,2,,,,,,,,,1,1,,,3,Pod,1,0,0,0,0,,
Caesalpinaceae,Senna,occidentalis,,,Id,1,5,,,1,,1,,,,1,1,,1,3,Pod,1,0,0,0,0,,
Caesalpinaceae,Senna,pistaciifolia,,,Id,1,6,,1,1,,1,,,,1,1,,1,3,Pod,1,0,0,0,0,,
Aizoaceae,Sesuvium,edmondstonei,exclusive,,EnQ,1,10,1,1,1,1,1,,1,1,1,1,,1,2,Capsule,0,0,0,1,0,,exclusive
Aizoaceae,Sesuvium,portulacastrum,exclusive,,Id,1,10,,1,1,1,1,1,1,,1,1,1,1,2,Capsule,0,0,0,1,0,,presence
Poaceae,Setaria,parviflora,,,Id,1,5,,,1,,1,,,,1,1,,1,2,Caryopside,1,0,0,0,0,,
Poaceae,Setaria,setosa,,,Id,1,11,1,1,1,,1,1,1,1,1,1,1,1,2,Caryopside,1,0,0,0,0,,
Cucurbitaceae,Sicyocaulis,pentagonus,,,En,1,2,,,,,1,,,,,1,,,1,Capsule,1,0,0,0,0,,
Cucurbitaceae,Sicyos,villosus,,,En,1,1,,,1,,,,,,,,,,1,Capsule,0,0,1,0,0,,
Malvaceae,Sida,cordata,,,Id,1,2,,,1,,,,1,,,,,,5,Schizocarp,1,0,0,0,0,,
Malvaceae,Sida,hederifolia,,,Id,1,7,,,1,,1,,1,1,1,1,,1,5,Schizocarp,1,0,0,0,0,,
Malvaceae,Sida,spinosa,,,Id,1,9,1,,1,1,1,,1,1,1,1,,1,5,Schizocarp,0,0,1,0,0,,
Malvaceae,Sida,salviifolia,,,Id,1,11,1,1,1,1,1,,1,1,1,1,1,1,5,Schizocarp,1,0,0,0,0,,
Iridaceae,Sisyrinchium,galapagense,,,En,1,4,,,1,,1,,,,1,1,,,1,Capsule,1,0,0,0,0,,
Solanaceae,Solanum,erianthum,,,Id,1,6,,1,1,,1,,1,,,1,,1,2,Berry,0,1,0,0,0,,
Solanaceae,Solanum,edmonstonei,,,NoData,1,1,,,,,,,,,,1,,,2,Berry,0,1,0,0,0,,
Solanaceae,Solanum,cheesmaniae,,,En,1,8,1,1,1,,1,,,,1,1,1,1,2,Berry,0,1,0,0,0,,
Solanaceae,Solanum,galapagense,,,En,1,9,1,1,1,,1,,1,1,1,1,,1,2,Berry,0,1,0,0,0,,
Asteraceae,Soliva,anthemifolia,,,Id,1,2,,,,,,,,,1,,,1,1,Achene,0,0,1,0,0,,
Rubiaceae,Spermacoce,remota,,,Id,1,6,,1,1,,1,,,,1,1,,1,1,Capsule,1,0,0,0,0,,
,Spilanthes,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Poaceae,Sporobolus,pyramidatus,,,Id,1,6,1,1,,,1,,,,1,1,,1,,,1,0,0,0,0,,
Poaceae,Sporobolus,indicus,,,Id,1,8,1,1,1,,1,,1,,1,1,,1,,,1,0,0.5,0,0,,
Poaceae,Sporobolus,virginicus,exclusive,,Id,1,8,1,1,1,1,1,,,,1,1,,1,,,1,0,0,0,0,,exclusive
Scrophulariaceae,Stemodia,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Poaceae,Stenotaphrum,secundatum,,,Id,1,4,,,1,,1,,,,1,1,,,1,Caryopside,0,0,0,1,0,,
Fabaceae,Stylosanthes,sympodiales,,,Id,1,10,,1,1,1,1,1,1,1,1,1,,1,1,Pod,0.5,0,0.5,0,0,,
,Talinum,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Fabaceae,Tephrosia,cinerea,,,Id,1,9,1,1,1,,1,,1,,1,1,1,1,1,Pod,1,0,0,0,0,,
Acanthaceae,Tetramerium,nervosum,,,Id,1,7,,1,1,,1,,1,,1,1,,1,1,Capsule,1,0,0,0,0,,
Lamiaceae,Teucrium,vesicarium,,,Id,1,4,,,1,,1,,,,1,1,,,1,Nutlet,0,0,1,0,0,,
Bromeliaceae,Tillandsia,insularis,,,En,1,7,,1,1,,1,,,1,1,1,,1,1,Capsule,0,0,0,0,1,,
Boraginaceae,Tiquilia,nesiotica,,,En,1,2,,,,,,,,,,1,,1,,,0,0,1,0,0,,
Boraginaceae,Tiquilia,darwinii,,,En,8,10,1,,1,1,1,1,1,,1,1,1,1,,,0,0,1,0,0,,
Boraginaceae,Tiquilia,galapagoa,,,En,1,10,,1,1,1,1,1,1,,1,1,1,1,,,0,0,1,0,0,,
Boraginaceae,Tiquilia,fusca,,,En,8,11,1,1,1,1,1,1,1,,1,1,1,1,,,0,0,1,0,0,,
Boraginaceae,Tournefortia,psilostachya,,,Id,1,8,1,,1,,1,,1,1,1,1,,1,2,Drupe,0,1,0,0,0,,
Boraginaceae,Tournefortia,pubescens,,,En,1,7,,1,1,,1,,,1,1,1,,1,2,Drupe,0,1,0,0,0,,
Boraginaceae,Tournefortia,rufo-sericea,,,En,1,8,,1,1,,1,,1,1,1,1,,1,2,Drupe,0,1,0,0,0,,
Ulma,Trema,,,,,,,,,,,,,,,,,,,,Drupe,,1,,,,,
Aizoaceae,Trianthema,portulacastrum,presence,,Id,1,10,1,,1,1,1,,1,1,1,1,1,1,1,Capsule,0,0,0,1,0,,presence
Zygophyllaceae,Tribulus,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Poaceae,Trichoneura,lindleyana,,,En,1,12,1,1,1,1,1,1,1,1,1,1,1,1,1,Caryopside,1,0,0,0,0,,
Poaceae,Trisetum,howellii,,,En,1,5,,1,,,1,,,,1,1,1,,1,Caryopside,0,0,1,0,0,,
Tiliaceae,Triumfetta,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Orchidaceae,Tropidia,polystachya,,,Id,1,3,,,,,1,,1,,,1,,,1,Capsule,0,0,0,0,1,,
Turneraceae,Turnera,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Poaceae,Uniola,pittieri,exclusive,,Id,1,2,,,,,,,,,1,1,,,1,Panicle,0,0,0,1,0,,
Urticaceae,Urera,,,,,,,,,,,,,,,,,,,,,1,1,,,,,
Lentibulariaceae,Utricularia,foliosa,,,Id,1,1,,,,,,,,,1,,,,1,Capsule,1,0,0,0,0,,
Apocynaceae,Vallesia,glabra,,,En,8,7,1,,1,,1,,,1,1,1,,1,1,Drupe,0,1,0,0,0,,
linaceae,Verbena,grisea,,,En,1,1,,,,,,,,1,,,,,2,Schizocarp,0,0,1,0,0,,
Verbenaceae,Verbena,galapagosensis,,,En,1,1,,,,,,,,,,1,,,2,Schizocarp,0,0,1,0,0,,
Verbenaceae,Verbena,sedula,,,En,1,3,,,,,,,,,1,1,,1,2,Schizocarp,0,0,1,0,0,,
Verbenaceae,Verbena,townsendii,,,En,1,5,,1,,,1,,1,,1,1,,,2,Schizocarp,0,0,1,0,0,,
Verbenaceae,Verbena,glabrata,,,NoData,1,1,,,,,1,,,,,,,,2,Schizocarp,0,0,1,0,0,,
Verbenaceae ,Verbena,stewartii,,,NoData,1,2,,1,,,1,,,,,,,,2,Schizocarp,0,0,1,0,0,,
Fabaceae,Vigna,adenantha,,,Id,1,2,,,,,,,,,1,1,,,1,Pod,0.5,0,0,0.5,0,,
Fabaceae,Vigna,luteola,,,Id,1,6,,1,,,1,,1,,1,1,,1,1,Pod,0.5,0,0,0.5,0,,
Sterculiaceae,Waltheria,ovata,,,Id,1,11,1,1,1,1,1,1,1,,1,1,1,1,1,Capsule,1,0,0,0,0,,
Rutaceae,Zanthoxylum,fagara,,,Id,1,9,1,1,1,,1,,1,1,1,1,,1,1,follicle,0,1,0,0,0,,
Asteraceae,Zinnia,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Leguminosae,Zornia,,, ,,,,,,,,,,,,,,,,,,,,1,,, ,
