,Espanola,Fernandina,Floreana,Genovesa,Isabela,Marchena,Pinta,Pinzon,San_Cristobal,Santa_Cruz,Santa_Fe,Santiago
Espanola,0,"208.48","68.18","183.23","132.57","197.53","236.75","129.52","44.8","87.9","66.28","144.72"
Fernandina,"208.48",0,"132.02","172.21","3.99","117.38","116.42","79.08","202.04","94.81","149.21","57.06"
Floreana,"68.18","132.02",0,"175.73",54,"165.25","197.08","68.84","89.73","49.13","56.68","95.35"
Genovesa,"183.23","172.21","175.73",0,"135.5","46.99","86.05","125.24","127.07","92.53","121.4","90.88"
Isabela,"132.57","3.99",54,"135.5",0,"82.28","74.92","17.47","129.33","27.94","77.04","16.62"
Marchena,"197.53","117.38","165.25","46.99","82.28",0,"28.66","97.45",157,"86.08","125.91","55.06"
Pinta,"236.75","116.42","197.08","86.05","74.92","28.66",0,"124.37","199.53","119.83","163.91","75.94"
Pinzon,"129.52","79.08","68.84","125.24","17.47","97.45","124.37",0,"117.61","10.37","64.85","24.44"
San_Cristobal,"44.8","202.04","89.73","127.07","129.33",157,"199.53","117.61",0,"66.75","45.54","121.38"
Santa_Cruz,"87.9","94.81","49.13","92.53","27.94","86.08","119.83","10.37","66.75",0,"16.35","19.81"
Santa_Fe,"66.28","149.21","56.68","121.4","77.04","125.91","163.91","64.85","45.54","16.35",0,"72.91"
Santiago,"144.72","57.06","95.35","90.88","16.62","55.06","75.94","24.44","121.38","19.81","72.91",0